day,month,year,location,total_cases,total_vaccinations,new_cases
01,06,2020,Venezuela,1662.0,0.0,152.0
01,06,2021,Argentina,3817139.0,12497078.0,35355.0
01,06,2021,Bolivia,374718.0,1729799.0,3439.0
01,06,2021,Brazil,16624480.0,68244216.0,78926.0
01,06,2021,Chile,1389357.0,18996395.0,5011.0
01,06,2021,Colombia,3432422.0,10382967.0,25966.0
01,06,2021,Ecuador,427690.0,2947090.0,1653.0
01,06,2021,Guyana,17114.0,0.0,162.0
01,06,2021,Paraguay,358244.0,453294.0,2860.0
01,06,2021,Peru,1955469.0,4442025.0,0.0
01,06,2021,Suriname,15128.0,85174.0,174.0
01,06,2021,Uruguay,298006.0,2887836.0,3503.0
01,06,2021,Venezuela,235567.0,0.0,1402.0
01,07,2020,Argentina,67197.0,0.0,2667.0
01,07,2020,Bolivia,34227.0,0.0,1008.0
01,07,2020,Brazil,1448753.0,0.0,46712.0
01,07,2020,Chile,282043.0,0.0,2650.0
01,07,2020,Colombia,102009.0,0.0,4163.0
01,07,2020,Ecuador,58257.0,0.0,1825.0
01,07,2020,Guyana,248.0,0.0,3.0
01,07,2020,Paraguay,2260.0,0.0,39.0
01,07,2020,Peru,288477.0,0.0,3264.0
01,07,2020,Suriname,535.0,0.0,20.0
01,07,2020,Uruguay,943.0,0.0,7.0
01,07,2020,Venezuela,6062.0,0.0,230.0
01,07,2021,Argentina,4491551.0,20907721.0,21177.0
01,07,2021,Bolivia,441286.0,2647544.0,1662.0
01,07,2021,Brazil,18622304.0,102780096.0,65163.0
01,07,2021,Chile,1558557.0,23267145.0,2655.0
01,07,2021,Colombia,4269297.0,18578199.0,28315.0
01,07,2021,Ecuador,459538.0,4917896.0,1034.0
01,07,2021,Guyana,20142.0,344466.0,87.0
01,07,2021,Paraguay,424998.0,965924.0,1716.0
01,07,2021,Peru,2057554.0,7922301.0,5489.0
01,07,2021,Suriname,21936.0,197723.0,204.0
01,07,2021,Uruguay,370600.0,3998222.0,1250.0
01,07,2021,Venezuela,274024.0,0.0,1312.0
01,08,2020,Argentina,196543.0,0.0,5241.0
01,08,2020,Bolivia,78793.0,0.0,2004.0
01,08,2020,Brazil,2707877.0,0.0,45392.0
01,08,2020,Chile,357658.0,0.0,1991.0
01,08,2020,Colombia,306181.0,0.0,10673.0
01,08,2020,Ecuador,86232.0,0.0,877.0
01,08,2020,Guyana,430.0,0.0,17.0
01,08,2020,Paraguay,5485.0,0.0,147.0
01,08,2020,Peru,407492.0,0.0,0.0
01,08,2020,Suriname,1760.0,0.0,110.0
01,08,2020,Uruguay,1278.0,0.0,14.0
01,08,2020,Venezuela,19443.0,0.0,869.0
01,08,2021,Argentina,4935847.0,32148787.0,6083.0
01,08,2021,Bolivia,473899.0,4526177.0,393.0
01,08,2021,Brazil,19938358.0,0.0,20503.0
01,08,2021,Chile,1616942.0,25885481.0,1171.0
01,08,2021,Colombia,4794414.0,27751197.0,9094.0
01,08,2021,Ecuador,487598.0,12641423.0,226.0
01,08,2021,Guyana,22523.0,0.0,0.0
01,08,2021,Paraguay,452698.0,2616866.0,310.0
01,08,2021,Peru,2113201.0,13734576.0,1808.0
01,08,2021,Suriname,25402.0,246782.0,51.0
01,08,2021,Uruguay,381569.0,4805177.0,52.0
01,08,2021,Venezuela,306673.0,0.0,907.0
01,09,2020,Argentina,428239.0,0.0,10504.0
01,09,2020,Bolivia,117267.0,0.0,669.0
01,09,2020,Brazil,3950931.0,0.0,42659.0
01,09,2020,Chile,413145.0,0.0,1419.0
01,09,2020,Colombia,624026.0,0.0,8932.0
01,09,2020,Ecuador,114309.0,0.0,542.0
01,09,2020,Guyana,1373.0,0.0,67.0
01,09,2020,Paraguay,18338.0,0.0,676.0
01,09,2020,Peru,652037.0,0.0,4871.0
01,09,2020,Suriname,4089.0,0.0,55.0
01,09,2020,Uruguay,1611.0,0.0,16.0
01,09,2020,Venezuela,47756.0,0.0,1028.0
01,09,2021,Argentina,5190948.0,42792677.0,5328.0
01,09,2021,Bolivia,491340.0,6057656.0,461.0
01,09,2021,Brazil,20804215.0,195521167.0,27345.0
01,09,2021,Chile,1639123.0,29202778.0,448.0
01,09,2021,Colombia,4911082.0,0.0,1996.0
01,09,2021,Ecuador,501201.0,0.0,0.0
01,09,2021,Guyana,25770.0,0.0,222.0
01,09,2021,Paraguay,458614.0,4083148.0,86.0
01,09,2021,Peru,2150006.0,19214616.0,415.0
01,09,2021,Suriname,29599.0,340023.0,306.0
01,09,2021,Uruguay,385078.0,5636771.0,144.0
01,09,2021,Venezuela,335233.0,0.0,890.0
01,10,2020,Argentina,765002.0,0.0,14001.0
01,10,2020,Bolivia,135716.0,0.0,405.0
01,10,2020,Brazil,4847092.0,0.0,36157.0
01,10,2020,Chile,464750.0,0.0,1759.0
01,10,2020,Colombia,835339.0,0.0,5660.0
01,10,2020,Ecuador,138584.0,0.0,1537.0
01,10,2020,Guyana,2929.0,0.0,35.0
01,10,2020,Paraguay,41799.0,0.0,1041.0
01,10,2020,Peru,814829.0,0.0,3061.0
01,10,2020,Suriname,4891.0,0.0,14.0
01,10,2020,Uruguay,2061.0,0.0,15.0
01,10,2020,Venezuela,76029.0,0.0,907.0
01,10,2021,Argentina,5258466.0,52019147.0,1564.0
01,10,2021,Bolivia,500823.0,0.0,378.0
01,10,2021,Brazil,21445651.0,0.0,18578.0
01,10,2021,Chile,1655071.0,32522931.0,807.0
01,10,2021,Colombia,4959144.0,0.0,1867.0
01,10,2021,Ecuador,509238.0,0.0,0.0
01,10,2021,Guyana,32055.0,0.0,228.0
01,10,2021,Paraguay,459967.0,4640590.0,0.0
01,10,2021,Peru,2177283.0,0.0,1978.0
01,10,2021,Suriname,41631.0,403454.0,0.0
01,10,2021,Uruguay,389025.0,6279822.0,97.0
01,10,2021,Venezuela,368968.0,0.0,0.0
01,11,2020,Argentina,1173533.0,0.0,6609.0
01,11,2020,Bolivia,141833.0,0.0,76.0
01,11,2020,Brazil,5545705.0,0.0,10100.0
01,11,2020,Chile,511864.0,0.0,1608.0
01,11,2020,Colombia,1083321.0,0.0,9137.0
01,11,2020,Ecuador,169194.0,0.0,1002.0
01,11,2020,Guyana,4208.0,0.0,46.0
01,11,2020,Paraguay,63731.0,0.0,546.0
01,11,2020,Peru,902503.0,0.0,2323.0
01,11,2020,Suriname,5210.0,0.0,7.0
01,11,2020,Uruguay,3149.0,0.0,25.0
01,11,2020,Venezuela,92325.0,0.0,312.0
01,12,2020,Argentina,1432570.0,0.0,8037.0
01,12,2020,Bolivia,144810.0,0.0,102.0
01,12,2020,Brazil,6386787.0,0.0,50909.0
01,12,2020,Chile,552864.0,0.0,1121.0
01,12,2020,Colombia,1324792.0,0.0,7986.0
01,12,2020,Ecuador,193673.0,0.0,988.0
01,12,2020,Guyana,5423.0,0.0,17.0
01,12,2020,Paraguay,83479.0,0.0,1055.0
01,12,2020,Peru,963605.0,0.0,1075.0
01,12,2020,Suriname,5319.0,0.0,7.0
01,12,2020,Uruguay,6024.0,0.0,167.0
01,12,2020,Venezuela,102621.0,0.0,227.0
02,01,2020,Argentina,0.0,0.0,0.0
02,01,2020,Peru,0.0,0.0,0.0
02,01,2021,Argentina,1634834.0,0.0,5240.0
02,01,2021,Bolivia,162055.0,0.0,1070.0
02,01,2021,Brazil,7716405.0,0.0,15827.0
02,01,2021,Chile,615902.0,8656.0,3338.0
02,01,2021,Colombia,1666408.0,0.0,11528.0
02,01,2021,Ecuador,214513.0,0.0,1135.0
02,01,2021,Guyana,6351.0,0.0,3.0
02,01,2021,Paraguay,108718.0,0.0,369.0
02,01,2021,Peru,1015137.0,0.0,0.0
02,01,2021,Suriname,6343.0,0.0,66.0
02,01,2021,Uruguay,20275.0,0.0,522.0
02,01,2021,Venezuela,114083.0,0.0,199.0
02,02,2020,Argentina,0.0,0.0,0.0
02,02,2020,Peru,0.0,0.0,0.0
02,02,2021,Argentina,1943548.0,0.0,9695.0
02,02,2021,Bolivia,220426.0,1593.0,2127.0
02,02,2021,Brazil,9283418.0,2292551.0,54096.0
02,02,2021,Chile,734035.0,80642.0,3147.0
02,02,2021,Colombia,2114597.0,0.0,10091.0
02,02,2021,Ecuador,251279.0,9722.0,293.0
02,02,2021,Guyana,7678.0,0.0,24.0
02,02,2021,Paraguay,134482.0,0.0,701.0
02,02,2021,Peru,1142716.0,0.0,4477.0
02,02,2021,Suriname,8497.0,0.0,48.0
02,02,2021,Uruguay,42667.0,0.0,539.0
02,02,2021,Venezuela,127752.0,0.0,406.0
02,03,2020,Argentina,0.0,0.0,0.0
02,03,2020,Brazil,2.0,0.0,0.0
02,03,2020,Chile,9.0,0.0,0.0
02,03,2020,Ecuador,6.0,0.0,0.0
02,03,2020,Peru,0.0,0.0,0.0
02,03,2021,Argentina,2118676.0,1126108.0,6653.0
02,03,2021,Bolivia,250557.0,19487.0,790.0
02,03,2021,Brazil,10646926.0,8841027.0,59925.0
02,03,2021,Chile,832512.0,3681737.0,2742.0
02,03,2021,Colombia,2259599.0,169619.0,4339.0
02,03,2021,Ecuador,286725.0,77044.0,358.0
02,03,2021,Falkland Islands,0.0,0.0,0.0
02,03,2021,Guyana,8626.0,0.0,31.0
02,03,2021,Paraguay,161530.0,1634.0,1082.0
02,03,2021,Peru,1338297.0,340608.0,8492.0
02,03,2021,Suriname,8939.0,0.0,6.0
02,03,2021,Uruguay,59171.0,33142.0,582.0
02,03,2021,Venezuela,139934.0,0.0,389.0
02,04,2020,Argentina,1133.0,0.0,79.0
02,04,2020,Bolivia,123.0,0.0,8.0
02,04,2020,Brazil,8044.0,0.0,1208.0
02,04,2020,Chile,3510.0,0.0,373.0
02,04,2020,Colombia,1161.0,0.0,96.0
02,04,2020,Ecuador,3163.0,0.0,415.0
02,04,2020,Guyana,19.0,0.0,0.0
02,04,2020,Paraguay,92.0,0.0,15.0
02,04,2020,Peru,1414.0,0.0,91.0
02,04,2020,Suriname,10.0,0.0,0.0
02,04,2020,Uruguay,369.0,0.0,19.0
